Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,LiveCharts 0.9.7,,,,,"LiveCharts, 0.9.7  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,LiveCharts.Wpf 0.9.7,,,,,"LiveCharts.Wpf, 0.9.7  Recommendation:  No supported version found"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,MahApps.Metro.IconPacks 6.2.1,,,,,"MahApps.Metro.IconPacks, 6.2.1  Recommendation:  MahApps.Metro.IconPacks, 4.11.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.Extensions.Hosting 10.0.7,,,,,"Microsoft.Extensions.Hosting, 10.0.7  Recommendation:  Remove Microsoft.Extensions.Hosting, and replace with new package Microsoft.Extensions.Hosting 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.Extensions.Hosting.Abstractions 10.0.7,,,,,"Microsoft.Extensions.Hosting.Abstractions, 10.0.7  Recommendation:  Remove Microsoft.Extensions.Hosting.Abstractions, and replace with new package Microsoft.Extensions.Hosting.Abstractions 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.Extensions.Logging 10.0.7,,,,,"Microsoft.Extensions.Logging, 10.0.7  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.Extensions.Options 10.0.7,,,,,"Microsoft.Extensions.Options, 10.0.7  Recommendation:  Remove Microsoft.Extensions.Options, and replace with new package Microsoft.Extensions.Options 10.0.10"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.NETCore.Platforms 7.0.4,,,,,"Microsoft.NETCore.Platforms, 7.0.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.Win32.Primitives 4.3.0,,,,,"Microsoft.Win32.Primitives, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,Microsoft.Xaml.Behaviors.Wpf 1.1.142,,,,,"Microsoft.Xaml.Behaviors.Wpf, 1.1.142  Recommendation:  Microsoft.Xaml.Behaviors.Wpf, 1.1.39"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,NETStandard.Library 2.0.3,,,,,"NETStandard.Library, 2.0.3  Recommendation:  Package functionality included with new framework reference"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,NHttp 0.1.9,,,,,"NHttp, 0.1.9  Recommendation:  No supported version found"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.AppContext 4.3.0,,,,,"System.AppContext, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Collections 4.3.0,,,,,"System.Collections, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Collections.Concurrent 4.3.0,,,,,"System.Collections.Concurrent, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Console 4.3.1,,,,,"System.Console, 4.3.1  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Diagnostics.Debug 4.3.0,,,,,"System.Diagnostics.Debug, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Diagnostics.Tools 4.3.0,,,,,"System.Diagnostics.Tools, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Diagnostics.Tracing 4.3.0,,,,,"System.Diagnostics.Tracing, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Globalization 4.3.0,,,,,"System.Globalization, 4.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Songify Slim\Songify Slim.csproj,File,Songify Slim\Songify Slim.csproj,,,System.Globalization.Calendars 4.3.0,,,,,"System.Globalization.Calendars, 4.3.0  Recommendation:  Package functionality included with new framework reference"
